,timestamp,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,module,rep_no,macs,batch_size,image_size,kernel_size,in_channels,stride,padding,forward_passes,architecture,layer_idx
0,2022-12-24T04:08:49,8f9b35c8-7587-4749-ad96-b978bf16105e,32.967660427093506,0.0010567203175232,0.0320532395636672,75.134884573916,29.647,288.75,0.0006884966452413,0.0002722106380834,0.0025499914459884,0.0035106987293131,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,1,938070540,110,152,6,493,5,3,10,,
1,2022-12-24T04:09:37,ed3501f5-9c09-4d1c-8041-4428fbb9f5a9,33.382065296173096,0.0010698353265205,0.0320482066351729,73.80581461759756,30.591,288.75,0.0006980966784768,0.0002776858249698,0.0025784876843293,0.003554270187776,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,2,938070540,110,152,6,493,5,3,10,,
2,2022-12-24T04:10:24,19982c47-9e13-4156-8e7e-05eec309e2a6,32.35980844497681,0.0010369497821272,0.032044373312358,75.0242623308396,30.041,288.75,0.0006762031181842,0.0002681992648817,0.0025006135043998,0.0034450158874658,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,3,938070540,110,152,6,493,5,3,10,,
3,2022-12-24T04:11:12,cc1151d9-f3a9-40ba-8c4e-9137a6d96e40,31.84662914276123,0.0010164610474843,0.0319173826192953,73.7976656578152,30.373,288.75,0.0006557673123912,0.0002638656588884,0.0024573140303293,0.003376947001609,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,1,2478552300,186,141,7,444,4,1,4,,
4,2022-12-24T04:12:02,905f601d-f964-4775-84c9-ed5cb50403f7,32.45073890686035,0.0010369691169684,0.0319551773518845,74.00062623539438,30.21,288.75,0.0006676391549442,0.0002687120737798,0.0025087288940946,0.0034450801228186,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,2,2478552300,186,141,7,444,4,1,4,,
5,2022-12-24T04:12:52,46b220fb-8ebb-4eab-bd87-9f084aa1be69,32.611430644989014,0.0010421675304989,0.0319571239251688,74.3652326743487,29.981,288.75,0.0006709566134315,0.0002738262925423,0.0025175676936904,0.0034623505996643,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,3,2478552300,186,141,7,444,4,1,4,,
6,2022-12-24T04:13:39,00040e43-1f39-4045-8bf8-c41c6960bd33,33.23045897483826,0.0011340113133403,0.0341256590587265,72.41257085601649,30.622,288.75,0.0006822641699775,0.0002791238937329,0.0028060913826028,0.0037674794463133,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,1,3108607632,249,104,9,456,4,3,4,,
7,2022-12-24T04:14:26,acb3a863-aece-48bd-99b1-02fda5de58ed,33.3846161365509,0.0010676818708102,0.0319812534744503,73.76720778142078,30.818,288.75,0.0006857423877601,0.0002812394460807,0.002580134016027,0.0035471158498679,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,2,3108607632,249,104,9,456,4,3,4,,
8,2022-12-24T04:15:13,515e4650-8968-4aee-b3ab-9176aa2f506f,33.22018098831177,0.0011343418274356,0.0341461663870754,73.96835159364896,30.348,288.75,0.0006829840105534,0.0002800153912833,0.0028055780979494,0.0037685774997862,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,3,3108607632,249,104,9,456,4,3,4,,
9,2022-12-24T04:15:50,648641d2-06c7-40c5-90c4-524b04792275,30.44817900657653,0.0009740929023383,0.0319918278898697,74.25806815449036,30.247,288.75,0.0006249078899259,0.0002573927674028,0.0023538883869846,0.0032361890443134,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,MaxPool2d,1,317584800,87,131,10,108,5,3,40,,
