batch_size,input_size,output_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
472,4645,1920,30.04845094680786,0.0009696716944537667,0.0322702712257123,76.91607369899867,30.65966666666667,288.75,2.1217547401231026e-06,8.500077962189218e-07,7.660252797076678e-06,1.0632015333419251e-05,2.0,1.0,770.0,2.0,4210391040.0,303.0
385,2960,3587,30.09438347816468,0.0009676548528110001,0.0321540024777755,75.85463537658431,30.599500000000003,288.75,2.1111422577644145e-06,8.583633380868686e-07,7.746601867565413e-06,1.0716107463416863e-05,2.0,1.0,770.0,1.5,4089126195.0,300.0
229,192,1606,30.034548203150432,0.0009686002223617667,0.0322495351865467,75.7051199561525,30.853666666666665,288.75,3.917349160479284e-08,1.5865069548827645e-08,1.4457733868196946e-07,1.9961589983559822e-07,2.0,1.0,770.0,2.0,70980382.0,16120.666666666666
453,2722,3574,30.066001017888386,0.000968181486325,0.03220186508312097,76.45397428536985,30.086333333333332,288.75,2.2884073296583934e-06,9.102532515616306e-07,8.371662398834294e-06,1.1570322980054916e-05,2.0,1.0,770.0,2.0,4408596906.0,278.0
429,4840,3134,30.103026787439983,0.0009935966205780334,0.033004016082319336,77.25937848420337,30.39066666666667,288.75,3.345253684775344e-06,1.3116034673893125e-06,1.2415853349692025e-05,1.70727105018572e-05,2.0,1.0,770.0,2.0,6508656726.0,193.33333333333334
300,2219,431,30.03882122039795,0.0009720288199625334,0.0323590883954372,77.53625049782471,30.522666666666666,288.75,1.6291535960326354e-07,6.445021725394533e-08,5.870256034488457e-07,8.143911803060799e-07,2.0,1.0,770.0,2.0,287046000.0,3965.3333333333335
292,1020,942,30.03563094139099,0.0009715447220884333,0.03234640594376393,76.74450352854905,30.480000000000004,288.75,1.5422741296534543e-07,6.124810823075454e-08,5.618529750980978e-07,7.773284962942219e-07,2.0,1.0,770.0,2.0,280840344.0,4152.333333333333
480,1136,3513,30.052545468012493,0.0009680787373291667,0.03221285579302873,76.24831849997223,30.740666666666666,288.75,9.792150306963625e-07,3.9516446937104073e-07,3.5761744464033156e-06,4.9505539464708725e-06,2.0,1.0,770.0,2.0,1917254880.0,649.6666666666666
511,2175,4003,30.06455373764038,0.0009696047657197666,0.03225075682559563,76.80104180320308,30.809,288.75,2.310144721286129e-06,9.320079787782176e-07,8.373043732320929e-06,1.1615196432385516e-05,2.0,1.0,770.0,2.0,4451079808.0,277.3333333333333
249,2589,2818,30.059281905492146,0.0009690681667543,0.0322385768611645,77.15012084512317,30.650666666666666,288.75,9.072016045185357e-07,3.6019682705182205e-07,3.27563217747971e-06,4.5430306090502095e-06,2.0,1.0,770.0,2.0,1817356380.0,708.6666666666666
423,1595,3427,30.060471773147583,0.0009671328290797001,0.032172906678782,76.22837648168542,30.378,288.75,1.204206962979647e-06,4.794284514804663e-07,4.390213124937555e-06,6.073848539397795e-06,2.0,1.0,770.0,2.0,2313595116.0,529.0
121,922,4586,30.04124879837036,0.0009684901682123001,0.03223867477756123,76.12219942791683,30.89833333333333,288.75,2.581146477280619e-07,1.0420678686552633e-07,9.43512430938178e-07,1.3058338655318069e-06,2.0,1.0,770.0,2.0,512178238.0,2464.0
247,2915,309,30.03672734896342,0.0009679234864565,0.03222466922446204,76.4312955140787,30.914,288.75,1.2342492339180032e-07,4.96180686104767e-08,4.4983121911332276e-07,6.228742111156126e-07,2.0,1.0,770.0,2.0,222557868.0,5162.666666666667
77,3248,2830,30.043963193893433,0.0009658702508885666,0.032148570134832764,76.08949420936531,30.236666666666668,288.75,3.969081364990015e-07,1.5949908432755492e-07,1.449553807819341e-06,2.0059610286459596e-06,2.0,1.0,770.0,2.0,707989590.0,1599.6666666666667
116,760,3627,30.038132747014362,0.0009688627262002666,0.032254426119352364,76.15733124314278,30.478333333333335,288.75,1.6073714878971772e-07,6.46832172192227e-08,5.914696302693999e-07,8.168899962783657e-07,2.0,1.0,770.0,2.0,320177052.0,3940.3333333333335
199,4224,4418,30.08145046234131,0.0009660464884330332,0.03211434629688897,76.0340771221276,30.43133333333334,288.75,1.91068326470695e-06,7.643407559758496e-07,7.011467398565215e-06,9.686491419248217e-06,2.0,1.0,770.0,2.0,3714543950.0,331.3333333333333
155,1336,846,30.035625060399372,0.0009690148043677999,0.0322621810705729,76.1677372609872,30.504,288.75,9.22745939567198e-08,3.6911027496021624e-08,3.384213121187293e-07,4.6760693357149015e-07,2.0,1.0,770.0,2.0,175320810.0,6884.666666666667
453,3946,4515,30.128705422083538,0.0009724090171405667,0.032275172198558195,77.24655586119923,30.98466666666667,288.75,4.198655981577056e-06,1.6749568765283551e-06,1.5104275072614068e-05,2.0977887930719696e-05,2.0,1.0,770.0,2.0,8072779365.0,154.0
424,2220,2348,30.046777486801147,0.0009663715503842001,0.032162240125263065,75.87407212018509,30.72966666666667,288.75,1.1305886290775194e-06,4.565500833063208e-07,4.156218554592725e-06,5.743357266976744e-06,2.0,1.0,770.0,2.0,2211120992.0,559.0
298,1049,689,30.034512678782146,0.0009754165301703001,0.03247652280288466,76.5981785245245,30.558333333333337,288.75,1.1330044106124791e-07,4.538370285233475e-08,4.1534526476045426e-07,5.740294086740605e-07,2.0,1.0,770.0,2.0,215588100.0,5645.333333333333
443,4887,1505,30.07342791557312,0.0009695966601261666,0.03224096922433314,77.12783114467503,30.468333333333334,288.75,1.6454269205365172e-06,6.493091374268527e-07,5.943781709614998e-06,8.238517767578452e-06,2.0,1.0,770.0,2.0,3258902920.0,391.0
