batch_size,image_size,kernel_size,in_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
110,152,6,493,5,3,32.90317805608114,0.0010545018087236332,0.0320486065037327,74.65498717411772,30.093,288.75,6.875988139674333e-05,2.7269857597830003e-05,0.0002543030878239167,0.0003503328268184967,2.0,1.0,770.0,2.0,938070540.0,10.0
186,141,7,444,4,1,32.30293289820353,0.0010318658983172,0.03194322796544954,74.0545081891861,30.188000000000002,288.75,0.00016619692339724166,6.720033543420834e-05,0.0006236342181761917,0.0008570314770076584,2.0,1.0,770.0,2.0,2478552300.0,4.0
249,104,9,456,4,3,33.27841869990031,0.0011120116705287,0.0334176929734174,73.38271007702873,30.596,288.75,0.00017091588069091668,7.003156092474167e-05,0.0006826502913815999,0.0009235977329972834,2.0,1.0,770.0,2.0,3108607632.0,4.0
87,131,10,108,5,3,30.42040379842122,0.0009707030762144001,0.03190957016199627,74.14417054429286,30.168000000000003,288.75,1.5603396327613333e-05,6.3970738474383334e-06,5.862270891252417e-05,8.062317908757667e-05,2.0,1.0,770.0,2.0,317584800.0,40.0
176,79,9,211,5,0,30.262136936187744,0.0009664008975986334,0.031934463334070164,74.14935469915969,30.345,288.75,1.779324939067238e-05,7.256975105753333e-06,6.66821815404619e-05,9.173240603688952e-05,2.0,1.0,770.0,2.0,338401800.0,35.0
157,209,7,230,3,0,38.770671367645264,0.0012397697076909,0.03197692166608363,74.01492024141709,30.305333333333333,288.75,0.0002656538349920111,0.00010847131861472222,0.0009988202591185112,0.001372945412725278,2.0,1.0,770.0,2.0,4090829680.0,3.0
17,213,6,278,1,0,37.18337106704712,0.0011860229791099332,0.031896597359506666,73.77876857809831,30.305333333333333,288.75,0.0002547395983902667,0.00010352831006523334,0.0009551573175798777,0.0013134252260353998,2.0,1.0,770.0,2.0,3680381952.0,3.0
60,107,10,371,4,2,30.57038966814677,0.0009747941759350333,0.031886884861324766,73.79133093295259,30.13166666666667,288.75,3.685882264062745e-05,1.4987150746505884e-05,0.00013865513584387449,0.00019050110923101175,2.0,1.0,770.0,2.0,752388000.0,17.0
64,180,3,17,2,0,30.16552432378133,0.0010150740167177666,0.0336471766460728,75.03609141760784,30.238,288.75,4.223931681926448e-06,1.6931569234769724e-06,1.661297154986238e-05,2.2530060155266022e-05,2.0,1.0,770.0,2.0,38781216.0,149.66666666666666
28,184,6,47,1,1,31.132874409357708,0.0009941554007141331,0.0319324602815163,74.10936514674442,30.40833333333333,288.75,5.322462157657222e-05,2.1838826785494445e-05,0.00020017337354106946,0.0002752368219031417,2.0,1.0,770.0,2.0,776042568.0,12.0
