batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes,test
511,4964807,33.34803636868795,0.0010940887075242334,0.03286419061791263,49.2315765140225,30.569333333333336,288.75,0.00010289081354273888,4.4146938760230955e-05,0.00040034330415504045,0.0005473810564580253,2.0,1.0,770.0,2.0,2537016377.0,6.666666666666667,1.0
325,1325323,30.436964909235638,0.0009976284159130668,0.03277993718770633,75.15125954049606,30.69066666666667,288.75,1.736206528297758e-05,7.0617696448803555e-06,6.595739486111632e-05,9.0381229788977e-05,2.0,1.0,770.0,2.0,430729975.0,36.666666666666664,1.0
374,4613506,30.87823796272278,0.0010398000706481,0.033658351011860065,48.407275611797125,30.61,288.75,7.062609639794445e-05,3.0172142269662964e-05,0.00028303345961518887,0.00038383169828280365,2.0,1.0,770.0,2.0,1725451244.0,9.0,1.0
218,4327579,30.186661958694458,0.0009650260629561333,0.03196853192147273,74.96586986743142,30.471,288.75,3.937958074553541e-05,1.604320636189375e-05,0.00014495637878878749,0.00020037916589622082,2.0,1.0,770.0,2.0,943412222.0,16.0,1.0
143,3873946,30.478427251180012,0.0010239150799706666,0.03359898674877703,73.07675569545175,30.495,288.75,2.3579170783758025e-05,9.596397854006173e-06,9.281373614514074e-05,0.00012598930478290864,2.0,1.0,770.0,2.0,553974278.0,27.0,1.0
211,2684355,30.870602051417034,0.0009887787934829333,0.0320297737563632,74.03066084697438,30.580000000000002,288.75,2.3926301761051854e-05,9.755459415175308e-06,8.798414179940124e-05,0.0001216659029756321,2.0,1.0,770.0,2.0,566398905.0,27.0,1.0
76,1660685,30.273323615392048,0.0010417330708090667,0.03441095163927007,75.56218746115948,30.83966666666667,288.75,5.283096245763611e-06,2.1477441165786113e-06,2.141005307091028e-05,2.8840893433253054e-05,2.0,1.0,770.0,2.0,126212060.0,120.0,1.0
108,1919824,30.328118085861206,0.0009935109556230665,0.03275861799251183,74.09061717545212,30.542333333333335,288.75,8.610003208820263e-06,3.488055236290874e-06,3.270503782130317e-05,4.4803096266415674e-05,2.0,1.0,770.0,2.0,207340992.0,73.66666666666667,1.0
92,1683219,30.215184926986694,0.0009906678092914667,0.032785993780541735,75.23005268279161,30.325333333333333,288.75,6.442480302316667e-06,2.5969702029200683e-06,2.454478602915476e-05,3.358423653439252e-05,2.0,1.0,770.0,2.0,154856148.0,98.0,1.0
372,260593,30.1156218846639,0.0009872323635433666,0.03277871585903397,75.36771588563843,30.44033333333333,288.75,4.0237203784239e-06,1.624846499921336e-06,1.5329202767366803e-05,2.097776964571268e-05,2.0,1.0,770.0,2.0,96940596.0,156.33333333333334,1.0
395,2184468,30.465476910273235,0.0010231188554084,0.033588422191417465,71.06717092786492,31.009,288.75,3.5444126621737036e-05,1.4846193813540742e-05,0.0001385466776098333,0.00018883699804511295,2.0,1.0,770.0,2.0,862864860.0,18.0,1.0
305,4578189,32.64973028500875,0.0010425991860845668,0.031933261992495736,75.15539679273193,30.949333333333332,288.75,5.694275665755834e-05,2.319407691426389e-05,0.00020851188904295,0.00028864872261478335,2.0,1.0,770.0,2.0,1396347645.0,12.0,1.0
101,2634318,30.226001977920532,0.0009645315562466333,0.031910909777624195,74.99957092332734,31.023666666666667,288.75,1.1225528552144769e-05,4.569740409863617e-06,4.1088795311907745e-05,5.688406427391792e-05,2.0,1.0,770.0,2.0,266066118.0,56.333333333333336,1.0
