batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
506,4505379,35.22303771972656,0.0011523092322983334,0.032714615389148265,75.32332234057196,29.871333333333336,288.75,0.00012286436330683336,4.844967612391667e-05,0.0004667309396934611,0.0006380449791242333,2.0,1.0,770.0,2.0,0.0,6.0
219,1266149,30.255887031555176,0.0009995731058011,0.03303729724541633,78.44629989773972,29.714,288.75,5.685146182947459e-06,2.123905672629065e-06,2.050729613819063e-05,2.8316347993768006e-05,2.0,1.0,770.0,2.0,0.0,117.33333333333333
352,3366962,30.672796090443928,0.0011246462265920333,0.03666948171010993,73.3020455360401,29.602666666666668,288.75,6.413644593874e-05,2.5179163615160002e-05,0.00028432101057635,0.00037363662013026,2.0,1.0,770.0,2.0,0.0,10.0
435,624213,30.17877419789632,0.0012381249593521333,0.04104034158686277,75.63436069238362,29.724666666666668,288.75,5.453228878947846e-06,2.036027101638324e-06,2.6234158458716658e-05,3.37234144393031e-05,2.0,1.0,770.0,2.0,0.0,122.0
494,2160900,31.276623328526814,0.0010232030816548334,0.0327150602935036,74.44548567994542,29.84,288.75,5.773677456409445e-05,2.2855242651207572e-05,0.00021948223654180533,0.0003000742537571192,2.0,1.0,770.0,2.0,0.0,11.333333333333334
140,1779695,30.165796438852947,0.0012378483594884667,0.0410386871357096,75.37429512098332,29.420333333333332,288.75,5.068853981212491e-06,1.880358098097487e-06,2.43844709340573e-05,3.133368301336804e-05,2.0,1.0,770.0,2.0,0.0,131.33333333333334
136,74417,30.0371089776357,0.0009950096193072668,0.033126011014348866,79.12093051137764,29.69933333333334,288.75,2.0028505193022884e-07,7.517177608818592e-08,7.277450754094655e-07,1.0032019034279107e-06,2.0,1.0,770.0,2.0,0.0,3295.3333333333335
360,3129358,31.37157638867696,0.0010260299807086,0.03270562906127406,75.219433630945,29.421000000000003,288.75,5.9809371020854545e-05,2.347747998628182e-05,0.0002265983742144303,0.00030988522522157574,2.0,1.0,770.0,2.0,0.0,11.0
389,3835800,30.82017199198405,0.0010086997650128667,0.032728293475195507,73.77457135397232,29.667666666666666,288.75,8.0864862886275e-05,3.150559062897083e-05,0.0003065247977359375,0.0004188952512512,2.0,1.0,770.0,2.0,0.0,8.0
258,1127287,30.242578426996868,0.0011183250441461666,0.036986305610563465,77.33818205550811,29.784333333333336,288.75,5.951415992817184e-06,2.2305022751341086e-06,2.4961122321282383e-05,3.314304058923487e-05,2.0,1.0,770.0,2.0,0.0,112.0
118,854126,30.093262751897175,0.0012373503114906667,0.04111063454502343,76.55255571536196,29.894000000000002,288.75,1.9943858535364367e-06,7.436466783626474e-07,9.559989888223143e-06,1.2298022420122624e-05,2.0,1.0,770.0,2.0,0.0,334.3333333333333
174,2452739,30.36074201265971,0.0009997290217651333,0.0329291044250034,78.67284935669016,30.01266666666667,288.75,1.3786187615377418e-05,5.312251868421004e-06,5.108738490718051e-05,7.018582439098228e-05,2.0,1.0,770.0,2.0,0.0,59.666666666666664
88,4658284,30.434139410654705,0.0011220106196287666,0.03690678656876183,75.30177494564084,29.389666666666667,288.75,1.2915431670635444e-05,4.934959162575181e-06,5.288297332546631e-05,7.073336415867931e-05,2.0,1.0,770.0,2.0,0.0,64.0
284,1867156,30.238637049992878,0.0012381200006524,0.040955141374261435,76.6466472454599,29.947999999999997,288.75,1.677677715145161e-05,6.424983456562364e-06,8.72064251466019e-05,0.00011040818575461947,2.0,1.0,770.0,2.0,0.0,48.666666666666664
192,1680444,30.23608883221944,0.0011158086500030334,0.036918958564807335,74.53775004410953,29.661666666666672,288.75,1.021327345917088e-05,3.951046956168785e-06,4.1848489723231575e-05,5.6012810138572206e-05,2.0,1.0,770.0,2.0,0.0,80.33333333333333
221,3058566,30.642719507217407,0.0012582322304335667,0.0412154443865985,90.40046198070065,29.43166666666667,288.75,2.9246633812136043e-05,1.3687156271564256e-05,0.0001422405938706129,0.00018517438395431767,2.0,1.0,770.0,2.0,0.0,27.666666666666668
246,4159074,31.742295662562054,0.0010375486825903002,0.0326865402117621,75.23623255557362,29.482000000000003,288.75,5.541861070058611e-05,2.159785144631389e-05,0.00021023400368651388,0.0002872504658334278,2.0,1.0,770.0,2.0,0.0,12.0
41,4771071,30.132289330164593,0.0013564630029475665,0.04501692724321826,73.78281562416736,29.328333333333333,288.75,3.94375486861789e-06,1.458444997528334e-06,2.137072106509012e-05,2.6772920931237133e-05,2.0,1.0,770.0,2.0,0.0,168.33333333333334
243,65630,30.048803965250652,0.0011141573350191333,0.03707663812289133,77.25634068044926,29.531000000000002,288.75,3.153390524810476e-07,1.1704617370020646e-07,1.3346491533285823e-06,1.767034379509884e-06,2.0,1.0,770.0,2.0,0.0,2096.0
501,669041,30.196511189142864,0.0012383976799482334,0.04103003279441527,78.5747591323885,29.413333333333338,288.75,6.7927170400587775e-06,2.5215770449400603e-06,3.2711656176816095e-05,4.202595026181562e-05,2.0,1.0,770.0,2.0,0.0,98.0
8,3363743,30.05775475502014,0.0012347266186961,0.0410759813010282,75.58195614804289,29.668333333333333,288.75,5.336897232989259e-07,1.9863199061916845e-07,2.573782184572552e-06,3.3061038984907276e-06,2.0,1.0,770.0,2.0,0.0,1240.3333333333333
288,3359680,30.800280888875324,0.0011294482477938333,0.03673593997184554,75.39156969270198,29.64,288.75,5.230346671571966e-05,2.0469597199278202e-05,0.00023248077356534763,0.00030525383748035087,2.0,1.0,770.0,2.0,0.0,12.333333333333334
330,4542818,31.314449707667034,0.0010241983143905668,0.03270687413560836,74.4644206246514,29.923333333333332,288.75,8.198573554223333e-05,3.225325131862083e-05,0.0003110925390488542,0.0004253315259097167,2.0,1.0,770.0,2.0,0.0,8.0
173,2636009,30.156338373819988,0.0013516021423783334,0.044820201544303995,76.42508661463323,29.352666666666668,288.75,1.996527392233564e-05,7.720695523383888e-06,0.00011302697172793522,0.0001407129411736574,2.0,1.0,770.0,2.0,0.0,40.333333333333336
95,105039,30.036062796910603,0.0009948936196357667,0.03312330267949177,79.19298444859952,29.619333333333334,288.75,1.9740685412035127e-07,7.397966347112145e-08,7.168828617402733e-07,9.88269379331796e-07,2.0,1.0,770.0,2.0,0.0,3344.6666666666665
462,670508,30.21959114074707,0.0012367802830852666,0.04095644426142813,76.711638147708,29.608000000000004,288.75,9.794687123975897e-06,3.7938393905091366e-06,4.3944618202228556e-05,5.753314471671422e-05,2.0,1.0,770.0,2.0,0.0,83.0
204,664783,30.10631489753723,0.0013581267885376,0.045111034698483404,76.15615601170624,30.00933333333333,288.75,2.7395649470858222e-06,1.0340888799779444e-06,1.4820432880902926e-05,1.859408670796738e-05,2.0,1.0,770.0,2.0,0.0,242.66666666666666
147,3424404,30.49956750869751,0.0010014360949170333,0.032835025472602336,76.72808123292178,29.887333333333334,288.75,2.1955192998494115e-05,8.676690156800309e-06,8.256787044774265e-05,0.00011319975360304046,2.0,1.0,770.0,2.0,0.0,37.333333333333336
193,3632200,30.620022455851238,0.0010083191283972,0.03293161704411193,77.69289123605682,29.852999999999998,288.75,2.2376966781185073e-05,8.701984020111161e-06,8.307562397582819e-05,0.00011415457477712708,2.0,1.0,770.0,2.0,0.0,36.666666666666664
324,4564282,31.541040500005085,0.0011496609370195,0.036621175326989865,49.847384417373085,30.015666666666664,288.75,7.336069428135371e-05,3.6604779628197216e-05,0.0003505983763995232,0.000460563850309082,2.0,1.0,770.0,2.0,0.0,8.333333333333334
341,3931233,31.6118381023407,0.0010340784375115332,0.0327117081517033,74.9853467272888,29.878333333333334,288.75,7.355997081294074e-05,2.9122369961103704e-05,0.0002790372744018593,0.0003817196151759185,2.0,1.0,770.0,2.0,0.0,9.0
489,1392868,30.785572052001953,0.0010112937274166,0.03285081844291363,76.31649705149987,30.051666666666666,288.75,3.014512157655749e-05,1.194850099730171e-05,0.00011359825502558093,0.00015569187759944546,2.0,1.0,770.0,2.0,0.0,27.0
42,1868792,30.082840045293178,0.0013566816397067999,0.045098209254071174,77.43834058202896,29.899000000000004,288.75,1.546292550449789e-06,6.777221166988883e-07,8.362762889594129e-06,1.0586777556742963e-05,2.0,1.0,770.0,2.0,0.0,429.6666666666667
266,632934,30.130392630894978,0.0013581887727634667,0.0450770857214429,75.47815534480662,29.897333333333336,288.75,3.39480615794914e-06,1.2797979632437347e-06,1.8386426035149355e-05,2.306103015634274e-05,2.0,1.0,770.0,2.0,0.0,195.66666666666666
486,2189243,31.12772266070048,0.0011408427157862666,0.03676374596179036,74.87891387139801,29.887666666666664,288.75,5.756050733975051e-05,2.2885395514981313e-05,0.0002551534498248343,0.00033559935267957224,2.0,1.0,770.0,2.0,0.0,11.333333333333334
233,2749396,30.548246145248413,0.0010019584024997,0.0327995069994631,75.41769874664696,29.939000000000004,288.75,2.8116978002822007e-05,1.1095496893058061e-05,0.00010558614298571199,0.00014479861788159576,2.0,1.0,770.0,2.0,0.0,29.0
309,4149681,32.639495849609375,0.0010670854705164,0.03269282015901117,75.2498948323401,29.62466666666667,288.75,6.835753157486333e-05,2.6703935730073333e-05,0.00025945197804934,0.00035451344535429,2.0,1.0,770.0,2.0,0.0,10.0
188,4590526,31.052839040756226,0.0011400227436671,0.03684550953998993,76.53385337938552,30.093666666666667,288.75,3.7421198548401935e-05,1.470609676324659e-05,0.0001517724840412339,0.00020389977935288424,2.0,1.0,770.0,2.0,0.0,21.666666666666668
198,3021376,30.7152316570282,0.0011316730055370334,0.036926116893942235,75.99396970608659,29.51733333333333,288.75,1.9021523155035056e-05,7.334274845598236e-06,7.79617228897064e-05,0.00010431752089034377,2.0,1.0,770.0,2.0,0.0,43.666666666666664
415,1107317,30.635011275609333,0.0010049276987451666,0.03280442351806966,76.34139250344332,29.77566666666667,288.75,2.0306570160473632e-05,7.961223543145409e-06,7.654569973095701e-05,0.0001048134934345792,2.0,1.0,770.0,2.0,0.0,40.333333333333336
106,3632379,30.376083532969158,0.0009995774554463334,0.032908984702823364,77.08516676057094,29.787333333333333,288.75,1.2322699204416876e-05,4.734518536101901e-06,4.576681320848526e-05,6.28240309490052e-05,2.0,1.0,770.0,2.0,0.0,67.0
275,4629149,32.75795920689901,0.0010713041725367,0.032703758429961566,75.25946278240993,29.578333333333333,288.75,6.855281039775666e-05,2.693182925219e-05,0.00026043036783734665,0.00035591500748730006,2.0,1.0,770.0,2.0,0.0,10.0
31,1115014,30.061081488927204,0.0012343791906247999,0.04105890869401766,76.61282699479536,29.693,288.75,6.880211060851643e-07,2.567912037252844e-07,3.32226188729816e-06,4.2670741971087485e-06,2.0,1.0,770.0,2.0,0.0,960.6666666666666
367,4817542,31.944216171900432,0.0010441537261242334,0.03268681009321667,74.80413106126694,29.569333333333333,288.75,9.543281592290476e-05,3.733289625957619e-05,0.00036279846727847146,0.0004955641794609714,2.0,1.0,770.0,2.0,0.0,7.0
384,4111892,33.19047768910726,0.0010848411481785667,0.032685476015475036,75.19362974016227,29.587,288.75,8.678600084077499e-05,3.38499376374375e-05,0.0003298794885062417,0.00045051542698447086,2.0,1.0,770.0,2.0,0.0,8.0
206,1743278,30.287179470062256,0.001117606919912,0.0369233689433303,76.89285866663103,29.737333333333336,288.75,1.1608717093807999e-05,4.435668723010781e-06,4.762408509827151e-05,6.36684709150917e-05,2.0,1.0,770.0,2.0,0.0,70.33333333333333
50,3965824,30.18195978800456,0.0012382667061067,0.041032048377162934,75.69820056795096,29.618666666666666,288.75,3.904443308103821e-06,1.4514344419931394e-06,1.8767634606358587e-05,2.4123512356455937e-05,2.0,1.0,770.0,2.0,0.0,170.66666666666666
139,760901,30.109488169352215,0.0013555580160967333,0.04502096827426869,74.94289948507289,29.506666666666664,288.75,2.12265793738705e-06,7.902354707953078e-07,1.1493215963570511e-05,1.4406109371752973e-05,2.0,1.0,770.0,2.0,0.0,312.6666666666667
510,3530266,32.29971734682719,0.0010560520879332666,0.0326955945471579,75.335855094683,29.776,288.75,9.666857623690952e-05,3.8041676246380945e-05,0.00036650099000996666,0.0005012112424932713,2.0,1.0,770.0,2.0,0.0,7.0
216,342195,30.064882040023804,0.0012478270519802334,0.041500091892506134,51.88843283213884,29.618000000000006,288.75,1.4771233494126168e-06,6.4240592977543e-07,7.1250839092126906e-06,9.244613188400961e-06,2.0,1.0,770.0,2.0,0.0,448.6666666666667
363,2828798,31.87470531463623,0.0010427397851332334,0.0327134239123835,75.2965519266577,29.96766666666667,288.75,5.5629307829025005e-05,2.2041521182072222e-05,0.00021101681914318334,0.0002886876481542834,2.0,1.0,770.0,2.0,0.0,12.0
113,854926,30.108283122380573,0.0013568266960447002,0.04506491982203913,76.12765666741832,29.832333333333338,288.75,1.936065018260485e-06,7.245245182549542e-07,1.0481963788067954e-05,1.3142553324583686e-05,2.0,1.0,770.0,2.0,0.0,343.0
257,4389127,31.863359769185383,0.0010407776161704334,0.03266396173234679,75.31025351444329,29.616333333333333,288.75,6.062844237476666e-05,2.3532067524654546e-05,0.00023017884865402728,0.0003143393585534606,2.0,1.0,770.0,2.0,0.0,11.0
432,2973630,31.352496067682903,0.0012668059053269,0.040659593378443,74.69274300263227,29.357,288.75,7.036815567616148e-05,2.7360743490432596e-05,0.00035649008010271705,0.00045421897926932524,2.0,1.0,770.0,2.0,0.0,9.333333333333334
500,4434624,34.565593560536705,0.0011303618791660332,0.032701999454235665,75.33102403594205,29.322333333333333,288.75,0.00012056241515355558,4.7406420856916665e-05,0.00045792367737049444,0.0006258925133809778,2.0,1.0,770.0,2.0,0.0,6.0
2,2742493,30.037604411443073,0.0009932022814342666,0.03306529524396943,78.80149735138797,29.129666666666665,288.75,1.1017494261220764e-07,4.084477711767589e-08,4.020943720132307e-07,5.531140917431307e-07,2.0,1.0,770.0,2.0,0.0,5967.0
105,1608044,30.167719682057697,0.0012379412730675668,0.0410311951454381,75.08749435339583,29.773000000000007,288.75,3.4288838864648636e-06,1.2865915121302146e-06,1.6529594152360765e-05,2.124506955095636e-05,2.0,1.0,770.0,2.0,0.0,193.66666666666666
108,384159,30.07367293039958,0.0013560232480871336,0.045090046144132166,78.10720702119137,29.677333333333337,288.75,8.25385089027439e-07,3.101227807747025e-07,4.4726639081640605e-06,5.608171777966284e-06,2.0,1.0,770.0,2.0,0.0,803.3333333333334
306,3968153,30.90890137354533,0.0011466977578198,0.037167866862793365,75.18859108162802,29.509666666666664,288.75,6.493894718259334e-05,2.957682921915e-05,0.0002864469338373933,0.00038096271023915,2.0,1.0,770.0,2.0,0.0,10.0
