,batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
0,415,1673479,30.40151246388753,0.0011199532470165666,0.03686447098267424,74.62288087331756,29.727333333333334,288.75,4.234390363025534e-05,1.6403202221569763e-05,0.0001743894805147295,0.00023313658636656508,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,16.666666666666668
1,150,528017,30.11985437075297,0.0012373246440344667,0.0410872095770787,75.75808666083343,29.712333333333333,288.75,2.8987998235771797e-06,1.082571638608898e-06,1.3891616782894987e-05,1.7872988245081645e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,230.0
2,352,3105482,32.593071937561035,0.0010694682598235,0.03281277655008954,76.39795312867338,29.986666666666668,288.75,7.691196356655556e-05,2.9982950962274078e-05,0.00028788849625873704,0.00039478341078757405,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
3,50,3883956,30.2184800306956,0.0011166245392478667,0.03697230006629184,78.03138554165226,29.637333333333334,288.75,7.712264645005171e-06,2.8920131153322117e-06,3.273687059650011e-05,4.334114835683866e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,85.66666666666667
4,91,2167276,30.187219619750977,0.0012370161304335666,0.040999454656352706,77.37975503611106,29.831333333333333,288.75,7.766591738888412e-06,2.9321647192255366e-06,3.770922831452942e-05,4.840798477264416e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,85.0
5,196,3768759,30.875569661458332,0.0011362515604801666,0.03690721432394723,76.23691859308435,29.86833333333333,288.75,3.744636628800396e-05,1.4336780156126571e-05,0.00015667834440803136,0.00020846149085216854,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,19.0
6,206,848961,30.239211956659954,0.0009985442426875667,0.033021498365907766,76.83988790524633,29.922666666666668,288.75,6.577798638843823e-06,2.466268224269307e-06,2.369446373135355e-05,3.2738530594468e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,101.33333333333333
7,138,4511707,30.80115294456482,0.0011346225948025335,0.03692727760699683,77.47879318521237,29.987000000000005,288.75,3.162278508946394e-05,1.2126266761566904e-05,0.0001320788557714006,0.00017582790762243493,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,22.666666666666668
8,135,3770815,31.05393711725871,0.0010198235481447334,0.03284187292797077,77.220225701317,29.832333333333334,288.75,3.133453973745573e-05,1.213855235101027e-05,0.00011664446104363518,0.00016011755313210773,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,23.0
9,282,510294,30.201112349828083,0.0011185280119706002,0.03704780857671137,76.12520449417438,29.596,288.75,5.267508593015885e-06,1.9711983049161437e-06,2.2090598868204345e-05,2.9329305766136897e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,126.66666666666667
