batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
353,1326998,30.550957043965656,0.0011233568862428333,0.03683745534238756,76.59242235590303,29.856333333333335,288.75,1.7060336529399558e-05,6.6954508009182285e-06,6.833258051093626e-05,9.20883678412567e-05,2.0,1.0,770.0,2.0,0.0,52.333333333333336
341,4892172,32.81782499949137,0.0010734040386114333,0.03270829749624413,75.29199071899917,29.623333333333335,288.75,7.633837667764074e-05,3.004319390354074e-05,0.00028985469321041483,0.0003962362637916111,2.0,1.0,770.0,2.0,0.0,9.0
111,4566314,30.134626150131226,0.0011121301223605666,0.0368983547139971,76.59962379445487,29.869333333333334,288.75,1.8721540014427437e-05,7.329653641100177e-06,8.634629579637134e-05,0.0001123974894519019,2.0,1.0,770.0,2.0,0.0,46.333333333333336
441,1087035,30.380539178848267,0.0011196223732967,0.036884807382710966,75.81649061961548,29.481333333333335,288.75,1.2373736714444098e-05,4.736638884807228e-06,5.042242755750446e-05,6.753280315675771e-05,2.0,1.0,770.0,2.0,0.0,71.66666666666667
156,690781,30.064531405766804,0.0013549693392577,0.04506870541692826,77.73798658003086,29.561333333333334,288.75,1.5100270405660406e-06,5.615547173364519e-07,8.161882958838652e-06,1.0233464716741373e-05,2.0,1.0,770.0,2.0,0.0,440.0
169,3642608,30.483989477157593,0.0011231104635634,0.036888451308443336,76.07912755468978,29.504,288.75,1.6005219331302283e-05,6.154849046161346e-06,6.470269469451841e-05,8.686276307198494e-05,2.0,1.0,770.0,2.0,0.0,55.666666666666664
126,402657,30.069100697835285,0.0013551085910406,0.04506647703352737,78.21231239660467,29.941333333333333,288.75,7.031168637618456e-07,2.625547266139465e-07,3.8017509668325804e-06,4.767422557208513e-06,2.0,1.0,770.0,2.0,0.0,944.3333333333334
241,1985736,30.539144277572632,0.0011226582491243333,0.03682024503612726,74.66797650662903,30.007333333333335,288.75,1.7345742957200445e-05,6.815269614540403e-06,6.951065141571891e-05,9.367166398746244e-05,2.0,1.0,770.0,2.0,0.0,51.333333333333336
512,2211930,31.7539484500885,0.0010386347881455001,0.032708813919931135,75.20892175669316,29.85466666666667,288.75,5.119466569216154e-05,2.0179328631966666e-05,0.00019405784522238717,0.0002654318395465256,2.0,1.0,770.0,2.0,0.0,13.0
124,4331886,30.635096311569214,0.0011259028916260332,0.0368158343602433,74.47062664057381,29.546333333333333,288.75,1.9431709897077047e-05,7.591173101603132e-06,7.77603262631994e-05,0.0001047832092618822,2.0,1.0,770.0,2.0,0.0,46.333333333333336
